,Normal,Singlish,Custom,Advanced
count,1000.0,1000.0,1000.0,386.0
mean,-0.008589300000000001,-0.008589300000000001,-0.8738131577670574,-0.4447972846605618
std,0.2756729811353242,0.2756729811353242,0.2515312871789811,0.30299158032027634
min,-0.9939,-0.9939,-0.9956751465797424,-0.9714992263793945
25%,0.0,0.0,-0.9154300093650818,-0.6491064146041869
50%,0.0,0.0,-0.9154300093650818,-0.4577150046825409
75%,0.0,0.0,-0.9154300093650818,-0.3015455454587936
max,0.9959,0.9959,0.9953617453575134,0.9453179749011992
